"ファイル名","WAVE0007.CSV","V 1.11"
"タイトルコメント","試験122205"
"トリガ時刻","25-05-16 13:51:32"
"CH","Mode","Range","Comment","Scaling","Ratio","Offset"
"CH-3","電圧","1V","REC","OFF","-","-"
"CH-10","電圧","10V","PULSE","OFF","-","-"
"Time","CH-3[V]","CH-10[V]","Event",
 0.000000000E+00, 2.59250E-01, 6.00000E-03,0,
 5.000000000E-02, 2.58900E-01, 6.00000E-03,0,
 1.000000000E-01, 2.64750E-01, 6.00000E-03,0,
 1.500000000E-01, 2.37750E-01, 6.00000E-03,0,
 2.000000000E-01, 2.67250E-01, 6.00000E-03,0,
 2.500000000E-01, 2.69100E-01, 6.00000E-03,0,
 3.000000000E-01, 2.38550E-01, 6.00000E-03,0,
 3.500000000E-01, 2.72350E-01, 6.00000E-03,0,
 4.000000000E-01, 2.67400E-01, 6.00000E-03,0,
 4.500000000E-01, 2.69450E-01, 6.00000E-03,0,
 5.000000000E-01, 2.82400E-01, 6.00000E-03,0,
 5.500000000E-01, 2.84550E-01, 6.00000E-03,0,
 6.000000000E-01, 2.33150E-01, 6.00000E-03,0,
 6.500000000E-01, 2.53850E-01, 6.00000E-03,0,
 7.000000000E-01, 2.85850E-01, 6.00000E-03,0,
 7.500000000E-01, 2.94850E-01, 6.00000E-03,0,
 8.000000000E-01, 2.76950E-01, 6.00000E-03,0,
 8.500000000E-01, 2.76650E-01, 6.00000E-03,0,
 9.000000000E-01, 2.76700E-01, 6.00000E-03,0,
 9.500000000E-01, 2.81700E-01, 4.93100E+00,0,
 1.000000000E+00, 2.35450E-01, 4.93100E+00,0,
 1.050000000E+00, 2.24150E-01, 4.93050E+00,0,
 1.100000000E+00, 2.05000E-01, 4.93100E+00,0,
 1.150000000E+00, 1.98950E-01, 4.93100E+00,0,
 1.200000000E+00, 2.10750E-01, 4.93050E+00,0,
 1.250000000E+00, 2.02300E-01, 4.93100E+00,0,
 1.300000000E+00, 1.97250E-01, 4.93100E+00,0,
 1.350000000E+00, 1.52950E-01, 4.93100E+00,0,
 1.400000000E+00, 7.20000E-02, 4.93100E+00,0,
 1.450000000E+00, 1.27250E-01, 4.93100E+00,0,
 1.500000000E+00, 1.84700E-01, 4.93100E+00,0,
 1.550000000E+00, 1.97750E-01, 4.93100E+00,0,
 1.600000000E+00, 2.37350E-01, 4.93100E+00,0,
 1.650000000E+00, 2.79300E-01, 6.00000E-03,0,
 1.700000000E+00, 2.80050E-01, 6.00000E-03,0,
 1.750000000E+00, 2.89050E-01, 6.00000E-03,0,
 1.800000000E+00, 2.93450E-01, 6.00000E-03,0,
 1.850000000E+00, 2.94200E-01, 6.00000E-03,0,
 1.900000000E+00, 3.01250E-01, 6.00000E-03,0,
 1.950000000E+00, 2.97050E-01, 6.00000E-03,0,
 2.000000000E+00, 3.10400E-01, 6.00000E-03,0,
 2.050000000E+00, 3.02500E-01, 6.00000E-03,0,
 2.100000000E+00, 2.99300E-01, 6.00000E-03,0,
 2.150000000E+00, 2.85400E-01, 6.00000E-03,0,
 2.200000000E+00, 3.07350E-01, 6.00000E-03,0,
 2.250000000E+00, 2.94800E-01, 6.00000E-03,0,
 2.300000000E+00, 2.92100E-01, 6.00000E-03,0,
 2.350000000E+00, 2.88950E-01, 6.00000E-03,0,
 2.400000000E+00, 2.75700E-01, 6.00000E-03,0,
 2.450000000E+00, 2.85400E-01, 4.93100E+00,0,
 2.500000000E+00, 2.37650E-01, 4.93100E+00,0,
 2.550000000E+00, 2.39250E-01, 6.00000E-03,0,
 2.600000000E+00, 2.38900E-01, 6.00000E-03,0,
 2.650000000E+00, 2.35800E-01, 6.00000E-03,0,
 2.700000000E+00, 2.29900E-01, 6.00000E-03,0,
 2.750000000E+00, 2.32200E-01, 6.00000E-03,0,
 2.800000000E+00, 2.78150E-01, 6.00000E-03,0,
 2.850000000E+00, 2.66650E-01, 6.00000E-03,0,
 2.900000000E+00, 2.73650E-01, 4.93100E+00,0,
 2.950000000E+00, 3.01500E-01, 4.93100E+00,0,
 3.000000000E+00, 3.16100E-01, 6.00000E-03,0,
 3.050000000E+00, 3.33500E-01, 6.00000E-03,0,
 3.100000000E+00, 3.11750E-01, 6.00000E-03,0,
 3.150000000E+00, 3.37550E-01, 6.00000E-03,0,
 3.200000000E+00, 3.43550E-01, 6.00000E-03,0,
 3.250000000E+00, 3.48950E-01, 6.00000E-03,0,
 3.300000000E+00, 3.35700E-01, 4.93100E+00,0,
 3.350000000E+00, 3.21350E-01, 4.93100E+00,0,
 3.400000000E+00, 2.92850E-01, 6.00000E-03,0,
 3.450000000E+00, 2.74900E-01, 6.00000E-03,0,
 3.500000000E+00, 2.71450E-01, 6.00000E-03,0,
 3.550000000E+00, 2.75250E-01, 6.00000E-03,0,
 3.600000000E+00, 3.17550E-01, 6.00000E-03,0,
 3.650000000E+00, 3.17800E-01, 4.93100E+00,0,
 3.700000000E+00, 3.25950E-01, 4.93100E+00,0,
 3.750000000E+00, 3.41850E-01, 6.00000E-03,0,
 3.800000000E+00, 3.51500E-01, 6.00000E-03,0,
 3.850000000E+00, 3.75850E-01, 6.00000E-03,0,
 3.900000000E+00, 3.76200E-01, 6.00000E-03,0,
 3.950000000E+00, 3.84300E-01, 4.93100E+00,0,
 4.000000000E+00, 3.85650E-01, 4.93100E+00,0,
 4.050000000E+00, 3.83450E-01, 6.00000E-03,0,
 4.100000000E+00, 3.82350E-01, 6.00000E-03,0,
 4.150000000E+00, 3.70650E-01, 6.00000E-03,0,
 4.200000000E+00, 3.51050E-01, 6.00000E-03,0,
 4.250000000E+00, 3.11150E-01, 6.00000E-03,0,
 4.300000000E+00, 2.91300E-01, 4.93100E+00,0,
 4.350000000E+00, 2.39400E-01, 4.93100E+00,0,
 4.400000000E+00, 2.29000E-01, 6.00000E-03,0,
 4.450000000E+00, 3.02000E-01, 6.00000E-03,0,
 4.500000000E+00, 3.30950E-01, 6.00000E-03,0,
 4.550000000E+00, 3.52100E-01, 6.00000E-03,0,
 4.600000000E+00, 3.77500E-01, 6.00000E-03,0,
 4.650000000E+00, 3.79000E-01, 4.93100E+00,0,
 4.700000000E+00, 3.75000E-01, 4.93100E+00,0,
 4.750000000E+00, 3.64850E-01, 6.00000E-03,0,
 4.800000000E+00, 3.32750E-01, 6.00000E-03,0,
 4.850000000E+00, 3.40000E-01, 6.00000E-03,0,
 4.900000000E+00, 3.11150E-01, 4.93100E+00,0,
 4.950000000E+00, 2.94200E-01, 4.93050E+00,0,
 5.000000000E+00, 2.34250E-01, 6.00000E-03,0,
 5.050000000E+00, 2.02550E-01, 6.00000E-03,0,
 5.100000000E+00, 2.12250E-01, 6.00000E-03,0,
 5.150000000E+00, 2.66700E-01, 6.00000E-03,0,
 5.200000000E+00, 2.79150E-01, 4.93050E+00,0,
 5.250000000E+00, 2.39700E-01, 4.93100E+00,0,
 5.300000000E+00, 2.82050E-01, 6.00000E-03,0,
 5.350000000E+00, 2.88450E-01, 6.00000E-03,0,
 5.400000000E+00, 2.67050E-01, 6.00000E-03,0,
 5.450000000E+00, 1.93900E-01, 6.00000E-03,0,
 5.500000000E+00, 1.40850E-01, 4.93050E+00,0,
 5.550000000E+00, 2.19350E-01, 4.92100E+00,0,
 5.600000000E+00, 2.76150E-01, 6.00000E-03,0,
 5.650000000E+00, 3.10950E-01, 6.00000E-03,0,
 5.700000000E+00, 3.49100E-01, 6.00000E-03,0,
 5.750000000E+00, 3.48650E-01, 6.00000E-03,0,
 5.800000000E+00, 3.55150E-01, 4.93100E+00,0,
 5.850000000E+00, 3.30050E-01, 6.00000E-03,0,
 5.900000000E+00, 3.30150E-01, 6.00000E-03,0,
 5.950000000E+00, 3.14650E-01, 6.00000E-03,0,
 6.000000000E+00, 2.91000E-01, 4.93100E+00,0,
 6.050000000E+00, 2.19800E-01, 6.00000E-03,0,
 6.100000000E+00, 2.09100E-01, 6.00000E-03,0,
 6.150000000E+00, 2.22500E-01, 6.00000E-03,0,
 6.200000000E+00, 2.89200E-01, 6.00000E-03,0,
 6.250000000E+00, 2.99600E-01, 4.93050E+00,0,
 6.300000000E+00, 3.39000E-01, 6.00000E-03,0,
 6.350000000E+00, 3.46450E-01, 6.00000E-03,0,
 6.400000000E+00, 3.28850E-01, 6.00000E-03,0,
 6.450000000E+00, 3.38800E-01, 6.00000E-03,0,
 6.500000000E+00, 3.32900E-01, 4.93100E+00,0,
 6.550000000E+00, 3.22850E-01, 6.00000E-03,0,
 6.600000000E+00, 2.90500E-01, 6.00000E-03,0,
 6.650000000E+00, 1.94550E-01, 6.00000E-03,0,
 6.700000000E+00, 1.95750E-01, 4.93050E+00,0,
 6.750000000E+00, 2.90950E-01, 6.00000E-03,0,
 6.800000000E+00, 3.56350E-01, 6.00000E-03,0,
 6.850000000E+00, 3.65650E-01, 6.00000E-03,0,
 6.900000000E+00, 3.66800E-01, 4.93050E+00,0,
 6.950000000E+00, 3.67000E-01, 4.79600E+00,0,
 7.000000000E+00, 3.27950E-01, 6.00000E-03,0,
 7.050000000E+00, 3.08550E-01, 6.00000E-03,0,
 7.100000000E+00, 2.85000E-01, 6.00000E-03,0,
 7.150000000E+00, 3.11250E-01, 4.93050E+00,0,
 7.200000000E+00, 3.09850E-01, 6.00000E-03,0,
 7.250000000E+00, 3.22300E-01, 6.00000E-03,0,
 7.300000000E+00, 3.30750E-01, 6.00000E-03,0,
 7.350000000E+00, 3.35750E-01, 4.93100E+00,0,
 7.400000000E+00, 3.51950E-01, 6.00000E-03,0,
 7.450000000E+00, 3.66800E-01, 6.00000E-03,0,
 7.500000000E+00, 3.66500E-01, 6.00000E-03,0,
 7.550000000E+00, 3.59350E-01, 6.00000E-03,0,
 7.600000000E+00, 3.45950E-01, 4.93050E+00,0,
 7.650000000E+00, 3.36450E-01, 6.00000E-03,0,
 7.700000000E+00, 3.05750E-01, 6.00000E-03,0,
 7.750000000E+00, 2.69200E-01, 4.93050E+00,0,
 7.800000000E+00, 2.78250E-01, 4.93050E+00,0,
 7.850000000E+00, 3.45250E-01, 6.00000E-03,0,
 7.900000000E+00, 3.62550E-01, 6.00000E-03,0,
 7.950000000E+00, 3.81700E-01, 6.00000E-03,0,
 8.000000000E+00, 3.71850E-01, 4.93050E+00,0,
 8.050000000E+00, 3.75150E-01, 6.00000E-03,0,
 8.100000000E+00, 3.64850E-01, 6.00000E-03,0,
 8.150000000E+00, 3.73100E-01, 6.00000E-03,0,
 8.200000000E+00, 3.76950E-01, 6.00000E-03,0,
 8.250000000E+00, 3.82300E-01, 4.93100E+00,0,
 8.300000000E+00, 3.91200E-01, 6.00000E-03,0,
 8.350000000E+00, 3.92050E-01, 6.00000E-03,0,
 8.400000000E+00, 3.85700E-01, 6.00000E-03,0,
 8.450000000E+00, 3.85500E-01, 4.93100E+00,0,
 8.500000000E+00, 3.79150E-01, 4.93050E+00,0,
 8.550000000E+00, 3.80550E-01, 6.00000E-03,0,
 8.600000000E+00, 3.72950E-01, 6.00000E-03,0,
 8.650000000E+00, 3.49300E-01, 4.93100E+00,0,
 8.700000000E+00, 3.39100E-01, 4.93100E+00,0,
 8.750000000E+00, 3.06200E-01, 6.00000E-03,0,
 8.800000000E+00, 2.87150E-01, 6.00000E-03,0,
 8.850000000E+00, 3.12650E-01, 6.00000E-03,0,
 8.900000000E+00, 3.62650E-01, 4.93100E+00,0,
 8.950000000E+00, 3.76800E-01, 6.00000E-03,0,
 9.000000000E+00, 3.84800E-01, 6.00000E-03,0,
 9.050000000E+00, 3.66900E-01, 6.00000E-03,0,
 9.100000000E+00, 3.75500E-01, 4.93050E+00,0,
 9.150000000E+00, 3.61450E-01, 6.00000E-03,0,
 9.200000000E+00, 3.47650E-01, 6.00000E-03,0,
 9.250000000E+00, 3.06250E-01, 6.00000E-03,0,
 9.300000000E+00, 2.76600E-01, 6.00000E-03,0,
 9.350000000E+00, 2.82050E-01, 4.93100E+00,0,
 9.400000000E+00, 3.06150E-01, 6.00000E-03,0,
 9.450000000E+00, 3.38750E-01, 6.00000E-03,0,
 9.500000000E+00, 3.53100E-01, 6.00000E-03,0,
 9.550000000E+00, 3.50800E-01, 4.93050E+00,0,
 9.600000000E+00, 3.44900E-01, 6.00000E-03,0,
 9.650000000E+00, 3.40350E-01, 6.00000E-03,0,
 9.700000000E+00, 3.23700E-01, 6.00000E-03,0,
 9.750000000E+00, 2.89450E-01, 4.93050E+00,0,
 9.800000000E+00, 2.96550E-01, 6.00000E-03,0,
 9.850000000E+00, 3.02400E-01, 6.00000E-03,0,
 9.900000000E+00, 3.18600E-01, 6.00000E-03,0,
 9.950000000E+00, 3.20300E-01, 4.93100E+00,0,
 1.000000000E+01, 3.29950E-01, 6.00000E-03,0,
 1.005000000E+01, 3.67450E-01, 5.50000E-03,0,
 1.010000000E+01, 3.63150E-01, 6.00000E-03,0,
 1.015000000E+01, 3.58200E-01, 4.93050E+00,0,
 1.020000000E+01, 3.55900E-01, 6.00000E-03,0,
 1.025000000E+01, 3.27400E-01, 6.00000E-03,0,
 1.030000000E+01, 2.72450E-01, 6.00000E-03,0,
 1.035000000E+01, 8.87500E-02, 4.93100E+00,0,
 1.040000000E+01, 1.53650E-01, 4.93100E+00,0,
 1.045000000E+01, 2.90650E-01, 6.00000E-03,0,
 1.050000000E+01, 3.37900E-01, 6.00000E-03,0,
