Time[s],Dist[m],Velocity[m/s],1step_diff[m/s]
0.05,0.0012076923076923072,0.0024153846153846144,0.0024153846153846144
0.1,0.0024153846153846144,0.004830769230769229,0.0024153846153846144
0.15000000000000002,0.0036230769230769216,0.007246153846153843,0.0024153846153846144
0.2,0.004830769230769229,0.009661538461538458,0.002415384615384616
0.25,0.006038461538461537,0.012076923076923074,0.0024153846153846144
0.3,0.007246153846153844,0.014492307692307688,0.002415384615384616
0.35,0.008453846153846152,0.016907692307692304,0.0024153846153846144
0.39999999999999997,0.00966153846153846,0.01932307692307692,0.0024153846153846144
0.44999999999999996,0.010869230769230766,0.021738461538461533,0.0024153846153846144
0.49999999999999994,0.012076923076923074,0.024153846153846147,0.0
0.5499999999999999,0.012076923076923074,0.024153846153846147,0.0
0.6,0.012076923076923074,0.024153846153846147,0.0
0.65,0.012076923076923074,0.024153846153846147,0.0
0.7000000000000001,0.012076923076923074,0.024153846153846147,0.0
0.7500000000000001,0.012076923076923074,0.024153846153846147,0.0
0.8000000000000002,0.012076923076923074,0.024153846153846147,0.0
0.8500000000000002,0.012076923076923074,0.024153846153846147,0.0
0.9000000000000002,0.012076923076923074,0.024153846153846147,0.0
0.9500000000000003,0.012076923076923074,0.024153846153846147,0.0
1.0000000000000002,0.012076923076923074,0.024153846153846147,0.0
1.0500000000000003,0.012076923076923074,0.024153846153846147,0.0
1.1000000000000003,0.012076923076923074,0.024153846153846147,0.0
1.1500000000000004,0.012076923076923074,0.024153846153846147,0.0
1.2000000000000004,0.012076923076923074,0.024153846153846147,0.0
1.2500000000000004,0.012076923076923074,0.024153846153846147,0.0
1.3000000000000005,0.012076923076923074,0.024153846153846147,0.0
1.3500000000000005,0.012076923076923074,0.024153846153846147,0.0
1.4000000000000006,0.012076923076923074,0.024153846153846147,0.0
1.4500000000000006,0.012076923076923074,0.024153846153846147,0.0
1.5000000000000007,0.012076923076923074,0.024153846153846147,0.0
1.5500000000000007,0.012076923076923074,0.024153846153846147,0.0
1.6000000000000008,0.012076923076923074,0.024153846153846147,0.0
1.6500000000000008,0.012076923076923074,0.024153846153846147,0.0
1.7000000000000008,0.012076923076923074,0.024153846153846147,0.0
1.7500000000000009,0.012076923076923074,0.024153846153846147,0.0
1.800000000000001,0.012076923076923074,0.024153846153846147,0.0
1.850000000000001,0.012076923076923074,0.024153846153846147,0.0
1.900000000000001,0.012076923076923074,0.024153846153846147,0.0
1.950000000000001,0.012076923076923074,0.024153846153846147,0.0
2.000000000000001,0.012076923076923074,0.024153846153846147,0.0
2.0500000000000007,0.012076923076923074,0.024153846153846147,0.0
2.1000000000000005,0.012076923076923074,0.024153846153846147,0.0
2.1500000000000004,0.012076923076923074,0.024153846153846147,0.0
2.2,0.012076923076923074,0.024153846153846147,0.0
2.25,0.012076923076923074,0.024153846153846147,0.0
2.3,0.012076923076923074,0.024153846153846147,0.0
2.3499999999999996,0.012076923076923074,0.024153846153846147,0.0
2.3999999999999995,0.012076923076923074,0.024153846153846147,0.0
2.4499999999999993,0.012076923076923074,0.024153846153846147,0.0
2.499999999999999,0.012076923076923074,0.024153846153846147,0.0
2.549999999999999,0.012076923076923074,0.024153846153846147,0.0
2.5999999999999988,0.012076923076923074,0.024153846153846147,0.0
2.6499999999999986,0.012076923076923074,0.024153846153846147,0.0
2.6999999999999984,0.012076923076923074,0.024153846153846147,0.0
2.7499999999999982,0.012076923076923074,0.024153846153846147,0.0
2.799999999999998,0.012076923076923074,0.024153846153846147,0.0
2.849999999999998,0.012076923076923074,0.024153846153846147,0.0
2.8999999999999977,0.012076923076923074,0.024153846153846147,0.0
2.9499999999999975,0.012076923076923074,0.024153846153846147,0.0
2.9999999999999973,0.012076923076923074,0.024153846153846147,0.0009139293139293139
3.049999999999997,0.01253388773388773,0.02506777546777546,0.0009139293139293139
3.099999999999997,0.012990852390852388,0.025981704781704775,0.0009139293139293139
3.149999999999997,0.013447817047817045,0.02689563409563409,0.0009139293139293174
3.1999999999999966,0.013904781704781703,0.027809563409563406,0.0009139293139293139
3.2499999999999964,0.01436174636174636,0.02872349272349272,0.0009139293139293139
3.2999999999999963,0.014818711018711017,0.029637422037422034,0.0009139293139293139
3.349999999999996,0.015275675675675674,0.030551351351351348,0.0009139293139293139
3.399999999999996,0.01573264033264033,0.03146528066528066,0.0009139293139293139
3.4499999999999957,0.016189604989604988,0.032379209979209976,0.0009139293139293139
3.4999999999999956,0.016646569646569645,0.03329313929313929,0.0009139293139293139
3.5499999999999954,0.017103534303534302,0.034207068607068604,0.0009139293139293139
3.599999999999995,0.01756049896049896,0.03512099792099792,0.0009139293139293139
3.649999999999995,0.018017463617463616,0.03603492723492723,0.0009139293139293139
3.699999999999995,0.018474428274428273,0.036948856548856546,0.0009139293139293209
3.7499999999999947,0.018931392931392933,0.03786278586278587,0.0009139293139293139
3.7999999999999945,0.01938835758835759,0.03877671517671518,0.0009139293139293139
3.8499999999999943,0.019845322245322247,0.039690644490644494,0.0009139293139293139
3.899999999999994,0.020302286902286904,0.04060457380457381,0.0009139293139293139
3.949999999999994,0.02075925155925156,0.04151850311850312,0.0009139293139293139
3.999999999999994,0.021216216216216218,0.042432432432432436,0.0
4.049999999999994,0.021216216216216218,0.042432432432432436,0.0
4.099999999999993,0.021216216216216218,0.042432432432432436,0.0
4.149999999999993,0.021216216216216218,0.042432432432432436,0.0
4.199999999999993,0.021216216216216218,0.042432432432432436,0.0
4.249999999999993,0.021216216216216218,0.042432432432432436,0.0
4.299999999999993,0.021216216216216218,0.042432432432432436,0.0
